calinski_harabaz,davies_bouldin,min_cluster_size,min_samples,score,silhouette
2.296,233.404,59,9,0.64,0.188
2.296,233.404,52,9,0.64,0.188
2.296,233.404,73,9,0.64,0.188
2.296,233.404,65,9,0.64,0.188
2.296,233.404,50,10,0.631,0.188
2.296,233.404,87,10,0.631,0.188
2.296,233.404,9,10,0.631,0.188
2.296,233.404,65,10,0.631,0.188
2.296,233.404,36,10,0.631,0.188
2.296,233.404,6,10,0.631,0.188
2.296,233.404,19,10,0.631,0.188
2.296,233.404,81,11,0.63,0.188
2.296,233.404,59,11,0.63,0.188
2.296,233.404,48,11,0.63,0.188
2.296,233.404,62,11,0.63,0.188
2.296,233.404,52,11,0.63,0.188
2.296,233.404,41,11,0.63,0.188
2.296,233.404,46,11,0.63,0.188
2.296,233.404,51,11,0.63,0.188
2.296,233.404,9,11,0.63,0.188
2.296,233.404,82,11,0.63,0.188
2.296,233.404,76,12,0.628,0.188
2.296,233.404,21,12,0.628,0.188
2.296,233.404,52,12,0.628,0.188
2.296,233.404,59,12,0.628,0.188
2.296,233.404,41,12,0.628,0.188
2.296,233.404,44,12,0.628,0.188
2.296,233.404,53,12,0.628,0.188
2.296,233.404,64,12,0.628,0.188
2.296,233.404,90,12,0.628,0.188
2.296,233.404,27,12,0.628,0.188
2.296,233.404,84,12,0.628,0.188
2.296,233.404,14,12,0.628,0.188
2.296,233.404,38,12,0.628,0.188
2.296,233.404,20,12,0.628,0.188
2.296,233.404,65,12,0.628,0.188
2.296,233.404,46,12,0.628,0.188
2.296,233.404,66,13,0.626,0.188
2.296,233.404,62,13,0.626,0.188
2.296,233.404,81,13,0.626,0.188
2.296,233.404,34,13,0.626,0.188
2.296,233.404,12,13,0.626,0.188
2.296,233.404,51,13,0.626,0.188
2.296,233.404,85,13,0.626,0.188
2.296,233.404,30,13,0.626,0.188
2.296,233.404,93,13,0.626,0.188
2.296,233.404,71,13,0.626,0.188
2.296,233.404,13,14,0.621,0.188
2.296,233.404,62,14,0.621,0.188
2.296,233.404,26,14,0.621,0.188
2.296,233.404,31,14,0.621,0.188
2.296,233.404,98,14,0.621,0.188
2.296,233.404,28,14,0.621,0.188
2.296,233.404,45,14,0.621,0.188
2.296,233.404,36,14,0.621,0.188
2.296,233.404,14,14,0.621,0.188
2.296,233.404,37,15,0.616,0.188
2.296,233.404,80,15,0.616,0.188
2.296,233.404,34,15,0.616,0.188
2.296,233.404,69,15,0.616,0.188
2.296,233.404,84,15,0.616,0.188
2.296,233.404,22,15,0.616,0.188
2.296,233.404,98,15,0.616,0.188
2.296,233.404,23,15,0.616,0.188
2.296,233.404,71,15,0.616,0.188
2.296,233.404,51,15,0.616,0.188
2.296,233.404,70,15,0.616,0.188
2.296,233.404,95,15,0.616,0.188
2.296,233.404,40,15,0.616,0.188
2.296,233.404,55,16,0.612,0.188
2.296,233.404,95,16,0.612,0.188
2.296,233.404,25,16,0.612,0.188
2.296,233.404,39,16,0.612,0.188
2.296,233.404,40,16,0.612,0.188
2.296,233.404,48,16,0.612,0.188
2.296,233.404,22,16,0.612,0.188
2.296,233.404,82,16,0.612,0.188
2.296,233.404,68,16,0.612,0.188
2.296,233.404,76,16,0.612,0.188
2.296,233.404,6,16,0.612,0.188
2.296,233.404,64,16,0.612,0.188
2.296,233.404,34,16,0.612,0.188
2.296,233.404,9,17,0.611,0.188
2.296,233.404,35,17,0.611,0.188
2.296,233.404,79,17,0.611,0.188
2.296,233.404,27,17,0.611,0.188
2.296,233.404,22,17,0.611,0.188
2.296,233.404,53,17,0.611,0.188
2.296,233.404,99,17,0.611,0.188
2.296,233.404,56,17,0.611,0.188
2.296,233.404,26,17,0.611,0.188
2.296,233.404,51,17,0.611,0.188
2.296,233.404,45,19,0.606,0.188
2.296,233.404,5,19,0.606,0.188
2.296,233.404,79,18,0.606,0.188
2.296,233.404,24,19,0.606,0.188
2.296,233.404,86,18,0.606,0.188
2.296,233.404,73,19,0.606,0.188
2.296,233.404,61,19,0.606,0.188
2.296,233.404,23,19,0.606,0.188
2.296,233.404,62,18,0.606,0.188
2.296,233.404,14,19,0.606,0.188
2.296,233.404,96,18,0.606,0.188
2.296,233.404,30,19,0.606,0.188
2.296,233.404,82,19,0.606,0.188
2.296,233.404,53,19,0.606,0.188
2.296,233.404,68,19,0.606,0.188
2.296,233.404,73,18,0.606,0.188
2.296,233.404,57,19,0.606,0.188
2.296,233.404,76,20,0.603,0.188
2.296,233.404,56,20,0.603,0.188
2.296,233.404,53,20,0.603,0.188
2.296,233.404,92,20,0.603,0.188
2.296,233.404,42,20,0.603,0.188
2.296,233.404,30,20,0.603,0.188
2.296,233.404,64,20,0.603,0.188
2.296,233.404,33,20,0.603,0.188
2.296,233.404,41,20,0.603,0.188
2.296,233.404,96,20,0.603,0.188
2.296,233.404,63,21,0.597,0.188
2.296,233.404,60,21,0.597,0.188
2.296,233.404,52,21,0.597,0.188
2.296,233.404,35,21,0.597,0.188
2.296,233.404,77,21,0.597,0.188
2.296,233.404,86,21,0.597,0.188
2.296,233.404,7,21,0.597,0.188
2.296,233.404,26,21,0.597,0.188
2.296,233.404,31,21,0.597,0.188
2.296,233.404,42,21,0.597,0.188
2.296,233.404,22,22,0.579,0.188
2.296,233.404,57,22,0.579,0.188
2.296,233.404,34,22,0.579,0.188
2.296,233.404,66,22,0.579,0.188
2.296,233.404,68,22,0.579,0.188
2.296,233.404,15,22,0.579,0.188
2.296,233.404,95,22,0.579,0.188
2.296,233.404,21,23,0.576,0.188
2.296,233.404,64,23,0.576,0.188
2.296,233.404,92,23,0.576,0.188
2.296,233.404,15,23,0.576,0.188
2.296,233.404,44,23,0.576,0.188
2.296,233.404,84,23,0.576,0.188
2.296,233.404,7,23,0.576,0.188
2.296,233.404,45,23,0.576,0.188
2.296,233.404,72,23,0.576,0.188
2.296,233.404,80,23,0.576,0.188
2.296,233.404,36,23,0.576,0.188
2.296,233.404,51,23,0.576,0.188
2.296,233.404,18,23,0.576,0.188
2.296,233.404,71,23,0.576,0.188
2.296,233.404,15,24,0.574,0.188
2.296,233.404,86,24,0.574,0.188
2.296,233.404,98,24,0.574,0.188
2.296,233.404,97,24,0.574,0.188
2.296,233.404,62,24,0.574,0.188
2.296,233.404,96,24,0.574,0.188
2.296,233.404,58,25,0.571,0.188
2.296,233.404,32,25,0.571,0.188
2.296,233.404,25,25,0.571,0.188
2.296,233.404,63,25,0.571,0.188
2.296,233.404,38,25,0.571,0.188
2.296,233.404,71,25,0.571,0.188
2.296,233.404,78,25,0.571,0.188
2.296,233.404,82,25,0.571,0.188
2.296,233.404,85,25,0.571,0.188
2.296,233.404,73,26,0.568,0.188
2.296,233.404,36,26,0.568,0.188
2.296,233.404,66,26,0.568,0.188
2.296,233.404,64,26,0.568,0.188
2.296,233.404,41,26,0.568,0.188
2.296,233.404,80,26,0.568,0.188
2.296,233.404,34,26,0.568,0.188
2.296,233.404,56,26,0.568,0.188
2.296,233.404,43,26,0.568,0.188
2.296,233.404,73,27,0.562,0.188
2.296,233.404,66,27,0.562,0.188
2.296,233.404,75,27,0.562,0.188
2.296,233.404,41,27,0.562,0.188
2.296,233.404,58,27,0.562,0.188
2.296,233.404,83,27,0.562,0.188
2.296,233.404,21,27,0.562,0.188
2.296,233.404,40,27,0.562,0.188
2.296,233.404,43,27,0.562,0.188
2.296,233.404,77,27,0.562,0.188
2.296,233.404,88,27,0.562,0.188
2.296,233.404,58,28,0.549,0.188
2.296,233.404,23,28,0.549,0.188
2.296,233.404,43,28,0.549,0.188
2.296,233.404,83,28,0.549,0.188
2.296,233.404,29,28,0.549,0.188
2.296,233.404,66,28,0.549,0.188
2.296,233.404,19,28,0.549,0.188
2.296,233.404,99,28,0.549,0.188
2.296,233.404,39,28,0.549,0.188
2.296,233.404,13,28,0.549,0.188
2.296,233.404,39,29,0.544,0.188
2.296,233.404,53,29,0.544,0.188
2.296,233.404,5,29,0.544,0.188
2.296,233.404,8,29,0.544,0.188
2.296,233.404,54,29,0.544,0.188
2.296,233.404,65,29,0.544,0.188
2.296,233.404,43,29,0.544,0.188
2.296,233.404,20,29,0.544,0.188
2.296,233.404,82,29,0.544,0.188
2.296,233.404,40,30,0.535,0.188
2.296,233.404,52,30,0.535,0.188
2.296,233.404,72,30,0.535,0.188
2.296,233.404,20,30,0.535,0.188
2.296,233.404,76,30,0.535,0.188
2.296,233.404,73,30,0.535,0.188
2.296,233.404,71,30,0.535,0.188
2.296,233.404,54,30,0.535,0.188
2.296,233.404,32,30,0.535,0.188
2.296,233.404,37,30,0.535,0.188
2.296,233.404,64,30,0.535,0.188
2.296,233.404,95,31,0.525,0.188
2.296,233.404,71,31,0.525,0.188
2.296,233.404,93,31,0.525,0.188
2.296,233.404,9,31,0.525,0.188
2.296,233.404,46,31,0.525,0.188
2.296,233.404,39,31,0.525,0.188
2.296,233.404,26,31,0.525,0.188
2.296,233.404,31,31,0.525,0.188
2.296,233.404,7,31,0.525,0.188
2.296,233.404,60,31,0.525,0.188
2.296,233.404,64,31,0.525,0.188
2.296,233.404,87,32,0.52,0.188
2.296,233.404,36,32,0.52,0.188
2.296,233.404,56,32,0.52,0.188
2.296,233.404,11,32,0.52,0.188
2.296,233.404,62,32,0.52,0.188
2.296,233.404,70,32,0.52,0.188
2.296,233.404,79,32,0.52,0.188
2.296,233.404,6,32,0.52,0.188
2.296,233.404,64,33,0.512,0.188
2.296,233.404,4,34,0.512,0.188
2.296,233.404,76,34,0.512,0.188
2.296,233.404,52,33,0.512,0.188
2.296,233.404,77,33,0.512,0.188
2.296,233.404,53,34,0.512,0.188
2.296,233.404,9,33,0.512,0.188
2.296,233.404,98,33,0.512,0.188
2.296,233.404,30,33,0.512,0.188
2.296,233.404,38,33,0.512,0.188
2.296,233.404,29,35,0.504,0.188
2.296,233.404,86,36,0.504,0.188
2.296,233.404,98,35,0.504,0.188
2.296,233.404,55,36,0.504,0.188
2.296,233.404,14,35,0.504,0.188
2.296,233.404,94,36,0.504,0.188
2.296,233.404,37,35,0.504,0.188
2.296,233.404,50,36,0.504,0.188
2.296,233.404,54,36,0.504,0.188
2.296,233.404,31,36,0.504,0.188
2.296,233.404,97,35,0.504,0.188
2.296,233.404,13,36,0.504,0.188
2.296,233.404,23,36,0.504,0.188
2.296,233.404,35,36,0.504,0.188
2.296,233.404,63,36,0.504,0.188
2.296,233.404,21,36,0.504,0.188
2.296,233.404,99,36,0.504,0.188
2.296,233.404,85,35,0.504,0.188
2.296,233.404,81,36,0.504,0.188
2.296,233.404,81,37,0.498,0.188
2.296,233.404,35,37,0.498,0.188
2.296,233.404,66,37,0.498,0.188
2.296,233.404,82,37,0.498,0.188
2.296,233.404,47,37,0.498,0.188
2.296,233.404,13,37,0.498,0.188
2.296,233.404,62,37,0.498,0.188
2.296,233.404,31,37,0.498,0.188
2.296,233.404,19,37,0.498,0.188
2.296,233.404,86,37,0.498,0.188
2.296,233.404,32,37,0.498,0.188
2.296,233.404,92,37,0.498,0.188
2.296,233.404,91,37,0.498,0.188
2.296,233.404,50,37,0.498,0.188
2.296,233.404,90,37,0.498,0.188
2.296,233.404,75,38,0.494,0.188
2.296,233.404,16,38,0.494,0.188
2.296,233.404,21,38,0.494,0.188
2.296,233.404,5,38,0.494,0.188
2.296,233.404,80,38,0.494,0.188
2.296,233.404,15,38,0.494,0.188
2.296,233.404,76,38,0.494,0.188
2.296,233.404,93,38,0.494,0.188
2.296,233.404,64,38,0.494,0.188
2.296,233.404,6,38,0.494,0.188
2.296,233.404,92,38,0.494,0.188
2.296,233.404,54,38,0.494,0.188
2.296,233.404,71,38,0.494,0.188
2.296,233.404,13,39,0.49,0.188
2.296,233.404,92,39,0.49,0.188
2.296,233.404,3,39,0.49,0.188
2.296,233.404,67,39,0.49,0.188
2.296,233.404,95,39,0.49,0.188
2.296,233.404,32,39,0.49,0.188
2.296,233.404,21,39,0.49,0.188
2.296,233.404,61,39,0.49,0.188
2.296,233.404,27,40,0.487,0.188
2.296,233.404,88,40,0.487,0.188
2.296,233.404,98,40,0.487,0.188
2.296,233.404,15,40,0.487,0.188
2.296,233.404,22,40,0.487,0.188
2.296,233.404,96,40,0.487,0.188
2.296,233.404,94,40,0.487,0.188
2.296,233.404,43,40,0.487,0.188
2.296,233.404,94,41,0.478,0.188
2.296,233.404,7,41,0.478,0.188
2.296,233.404,24,41,0.478,0.188
2.296,233.404,95,41,0.478,0.188
2.296,233.404,88,41,0.478,0.188
2.296,233.404,93,41,0.478,0.188
2.296,233.404,11,41,0.478,0.188
2.296,233.404,22,41,0.478,0.188
2.296,233.404,48,41,0.478,0.188
2.296,233.404,23,41,0.478,0.188
2.296,233.404,32,41,0.478,0.188
2.296,233.404,73,41,0.478,0.188
2.296,233.404,55,41,0.478,0.188
2.296,233.404,82,41,0.478,0.188
2.296,233.404,40,42,0.47,0.188
2.296,233.404,55,42,0.47,0.188
2.296,233.404,24,42,0.47,0.188
2.296,233.404,50,42,0.47,0.188
2.296,233.404,83,42,0.47,0.188
2.296,233.404,39,42,0.47,0.188
2.296,233.404,25,42,0.47,0.188
2.296,233.404,99,42,0.47,0.188
2.296,233.404,29,42,0.47,0.188
2.296,233.404,39,43,0.466,0.188
2.296,233.404,80,43,0.466,0.188
2.296,233.404,74,43,0.466,0.188
2.296,233.404,91,43,0.466,0.188
2.296,233.404,83,43,0.466,0.188
2.296,233.404,41,43,0.466,0.188
2.296,233.404,27,44,0.461,0.188
2.296,233.404,73,44,0.461,0.188
2.296,233.404,31,44,0.461,0.188
2.296,233.404,69,44,0.461,0.188
2.296,233.404,74,44,0.461,0.188
2.296,233.404,58,44,0.461,0.188
2.296,233.404,29,44,0.461,0.188
2.296,233.404,71,44,0.461,0.188
2.296,233.404,3,44,0.461,0.188
2.296,233.404,18,44,0.461,0.188
2.296,233.404,50,45,0.456,0.188
2.296,233.404,33,45,0.456,0.188
2.296,233.404,96,45,0.456,0.188
2.296,233.404,10,45,0.456,0.188
2.296,233.404,58,45,0.456,0.188
2.296,233.404,12,45,0.456,0.188
2.296,233.404,75,45,0.456,0.188
2.296,233.404,59,46,0.452,0.188
2.296,233.404,99,46,0.452,0.188
2.296,233.404,50,46,0.452,0.188
2.296,233.404,43,46,0.452,0.188
2.296,233.404,89,46,0.452,0.188
2.296,233.404,29,46,0.452,0.188
2.296,233.404,28,46,0.452,0.188
2.296,233.404,38,46,0.452,0.188
2.296,233.404,14,46,0.452,0.188
2.296,233.404,48,46,0.452,0.188
2.296,233.404,21,47,0.45,0.188
2.296,233.404,37,47,0.45,0.188
2.296,233.404,69,47,0.45,0.188
2.296,233.404,6,47,0.45,0.188
2.296,233.404,74,47,0.45,0.188
2.296,233.404,35,47,0.45,0.188
2.296,233.404,48,48,0.447,0.188
2.296,233.404,78,48,0.447,0.188
2.296,233.404,91,48,0.447,0.188
2.296,233.404,12,48,0.447,0.188
2.296,233.404,6,48,0.447,0.188
2.296,233.404,69,48,0.447,0.188
2.296,233.404,61,48,0.447,0.188
2.296,233.404,3,48,0.447,0.188
2.296,233.404,8,48,0.447,0.188
2.296,233.404,10,48,0.447,0.188
2.296,233.404,20,48,0.447,0.188
2.296,233.404,82,48,0.447,0.188
2.296,233.404,64,49,0.44,0.188
2.296,233.404,19,49,0.44,0.188
2.296,233.404,25,49,0.44,0.188
2.296,233.404,58,49,0.44,0.188
2.296,233.404,97,49,0.44,0.188
2.296,233.404,20,49,0.44,0.188
2.296,233.404,26,49,0.44,0.188
