score,min_cluster_size,min_samples
0.384,1007,613
0.384,1081,739
0.384,1087,865
0.384,1099,862
0.384,1048,862
0.384,1083,793
0.384,1089,786
0.384,1069,793
0.384,1031,793
0.384,847,654
0.384,848,654
0.384,1095,862
0.384,1043,786
0.384,1066,786
0.383,819,866
0.383,1027,870
0.383,903,780
0.383,1008,615
0.383,1024,870
0.383,859,866
0.383,876,780
0.383,1090,829
0.383,1049,829
0.383,1054,851
0.383,1015,799
0.383,954,661
0.383,1054,835
0.383,1032,851
0.383,976,636
0.383,928,661
0.383,930,780
0.383,1061,840
0.383,1058,859
0.383,1027,796
0.383,967,636
0.383,912,661
0.382,1068,719
0.382,834,865
0.382,1064,708
0.382,862,739
0.382,976,643
0.382,811,750
0.382,816,695
0.382,972,655
0.382,967,643
0.382,1036,708
0.382,857,862
0.382,939,807
0.382,895,807
0.382,922,739
0.382,1048,873
0.382,1068,703
0.382,1027,818
0.382,981,652
0.382,1015,655
0.382,1082,609
0.382,1055,697
0.382,1014,652
0.382,990,642
0.382,1053,852
0.382,890,695
0.382,1005,652
0.382,848,865
0.382,1013,643
0.382,902,865
0.382,1083,703
0.382,802,651
0.382,901,862
0.382,876,862
0.382,1000,655
0.382,826,862
0.382,804,862
0.382,878,807
0.382,1051,708
0.382,821,807
0.382,935,739
0.381,1038,627
0.381,846,747
0.381,930,840
0.381,1037,625
0.381,1030,736
0.381,1033,626
0.381,804,825
0.381,875,829
0.381,950,825
0.381,1019,705
0.381,1062,630
0.381,1038,618
0.381,848,835
0.381,905,747
0.381,1020,718
0.381,1091,826
0.381,911,851
0.381,1031,619
0.381,1092,627
0.381,1044,630
0.381,1051,725
0.381,850,747
0.381,1043,814
0.381,1011,864
0.381,835,840
0.381,1064,795
0.381,903,829
0.381,896,863
0.381,820,835
0.381,1075,626
0.381,1046,618
0.381,1040,725
0.381,820,851
0.381,903,825
0.381,1058,795
0.381,830,863
0.381,907,747
0.381,817,859
0.381,850,851
0.381,1010,858
0.381,1025,734
0.381,869,851
0.381,1074,625
0.381,1069,795
0.381,855,829
0.381,1019,773
0.381,852,840
0.381,1047,625
0.38,894,703
0.38,972,823
0.38,935,708
0.38,831,619
0.38,819,719
0.38,949,703
0.38,804,805
0.38,907,697
0.38,819,619
0.38,1030,845
0.38,869,873
0.38,862,719
0.38,898,708
0.38,1037,838
0.38,927,708
0.38,830,703
0.38,852,703
0.38,860,708
0.38,839,697
0.38,821,852
0.38,804,752
0.38,895,697
0.38,1013,867
0.38,822,719
0.38,861,852
0.38,876,719
0.38,878,708
0.38,807,852
0.38,1069,845
0.38,816,697
0.38,1089,838
0.38,942,852
0.38,918,703
0.38,839,619
0.38,930,619
0.38,814,708
0.379,903,795
0.379,1075,869
0.379,921,626
0.379,952,626
0.379,904,826
0.379,835,826
0.379,815,795
0.379,828,826
0.379,849,618
0.379,928,618
0.379,1072,776
0.379,870,795
0.379,865,630
0.379,980,654
0.379,847,826
0.379,822,626
0.379,909,630
0.379,904,814
0.379,875,627
0.379,934,725
0.379,899,725
0.379,834,814
0.379,879,625
0.379,854,795
0.379,821,795
0.379,825,618
0.379,858,725
0.379,849,826
0.379,898,625
0.379,901,627
0.379,803,830
0.379,939,618
0.379,867,795
0.379,867,814
0.379,916,627
0.379,838,627
0.379,828,625
0.379,944,625
0.379,833,626
0.379,825,830
0.379,888,625
0.378,917,845
0.378,991,780
0.378,910,838
0.378,1008,780
0.378,1018,702
0.378,827,838
0.378,1071,796
0.378,837,838
0.378,809,845
0.378,1061,870
0.378,853,845
0.378,922,845
0.378,1006,780
0.378,871,845
0.378,880,838
0.378,1002,780
0.378,896,838
0.377,949,869
0.377,801,870
0.377,1074,602
0.377,898,869
0.377,868,776
0.377,1027,641
0.377,852,870
0.377,872,870
0.377,988,865
0.377,831,870
0.377,962,862
0.377,981,793
0.377,1083,601
0.377,1026,637
0.377,865,776
0.377,1049,818
0.377,999,865
0.377,835,776
0.377,969,807
0.377,824,870
0.377,993,786
0.377,813,870
0.377,998,865
0.377,967,862
0.377,888,776
0.377,1030,808
0.377,946,870
0.377,1095,818
0.377,836,870
0.376,915,602
0.376,921,602
0.376,998,747
0.376,802,608
0.376,884,799
0.376,1064,717
0.376,1042,853
0.376,926,602
0.376,963,829
0.376,867,796
0.376,973,835
0.376,1000,829
0.376,807,759
0.376,1075,773
0.376,1099,773
0.376,818,808
0.376,1091,783
0.376,837,796
0.376,1008,829
0.376,1071,698
0.376,1037,773
0.376,1079,694
0.376,1051,773
0.376,1007,851
0.376,977,835
0.376,1038,858
0.376,1036,698
0.376,961,747
0.376,906,799
0.376,1052,853
0.376,866,796
0.376,872,808
0.376,1040,717
0.376,1030,718
0.376,1057,783
0.376,1028,718
0.376,913,602
0.376,1008,747
0.376,805,608
0.376,954,835
0.376,910,602
0.376,1072,853
0.376,1039,734
0.376,979,829
0.375,907,601
0.375,1082,668
0.375,1067,856
0.375,898,858
0.375,1092,867
0.375,996,852
0.375,1003,697
0.375,864,858
0.375,964,863
0.375,963,873
0.375,1017,875
0.375,842,818
0.375,939,818
0.375,948,601
0.375,1064,668
0.375,931,818
0.375,1071,854
0.375,1009,697
0.375,810,714
0.375,944,818
0.375,1070,760
0.375,976,852
0.375,950,601
0.375,982,873
0.375,861,818
0.375,1000,697
0.375,953,873
0.375,826,818
0.375,998,719
0.375,986,852
0.375,1065,867
0.375,902,601
0.375,810,724
0.375,829,858
0.375,996,719
0.375,1037,668
0.374,926,734
0.374,986,619
0.374,841,734
0.374,876,717
0.374,1059,678
0.374,986,618
0.374,866,718
0.374,1090,675
0.374,1034,669
0.374,873,698
0.374,889,705
0.374,918,734
0.374,849,853
0.374,1000,736
0.374,996,826
0.374,951,773
0.374,938,694
0.374,897,734
0.374,878,854
0.374,887,864
0.374,857,705
0.374,990,795
0.374,981,736
0.374,816,705
0.374,1098,675
0.374,994,736
0.374,1001,619
0.374,926,864
0.374,878,734
0.374,884,717
0.374,909,705
0.374,849,717
0.374,826,698
0.374,882,773
0.374,886,773
0.374,1096,678
0.374,892,705
0.374,942,853
0.374,852,864
0.374,876,854
0.374,807,745
0.374,804,745
0.374,801,710
0.374,895,705
0.374,934,698
0.374,1014,878
0.374,808,864
0.374,875,864
0.374,971,814
0.374,894,783
0.374,861,698
0.374,954,717
0.374,923,694
0.374,1088,669
0.374,926,717
0.374,969,618
0.374,1092,757
0.374,1070,678
0.374,937,783
0.374,1044,702
0.374,825,698
0.374,933,854
0.374,827,783
0.374,822,864
0.374,966,795
0.374,817,705
0.374,1009,627
0.374,846,734
0.374,1015,878
0.374,880,734
0.374,983,627
0.374,884,773
0.374,909,853
0.374,886,854
0.374,812,717
0.374,930,734
0.374,918,864
0.374,993,814
0.373,973,845
0.373,893,856
0.373,881,856
0.373,1013,892
0.373,1058,624
0.373,1094,612
0.373,800,774
0.373,1033,624
0.373,802,753
0.373,869,867
0.373,881,867
0.373,861,867
0.373,911,867
0.373,912,668
0.373,826,867
0.373,1011,892
0.373,936,668
0.373,845,867
0.373,823,668
0.373,858,760
0.373,1074,610
0.373,811,856
0.373,1094,624
0.372,1022,811
0.372,842,757
0.372,907,669
0.372,818,678
0.372,1079,637
0.372,956,870
0.372,897,669
0.372,926,669
0.372,933,757
0.372,1024,811
0.372,1021,868
0.372,856,675
0.372,929,702
0.372,922,702
0.372,860,669
0.372,999,870
0.372,821,678
0.372,961,869
0.372,1024,666
0.372,837,757
0.372,914,678
0.372,898,678
0.372,1060,641
0.372,1089,637
0.372,909,678
0.372,892,702
0.372,958,678
0.372,835,678
0.371,1026,836
0.371,942,610
0.371,823,624
0.371,938,612
0.371,965,796
0.371,1022,871
0.371,990,808
0.371,1048,778
0.371,855,612
0.371,953,610
0.371,1018,817
0.371,949,624
0.371,1018,684
0.371,888,624
0.371,1093,778
0.371,973,799
0.371,1099,663
0.371,993,808
0.371,842,612
0.371,975,808
0.371,933,624
0.371,832,610
0.371,964,808
0.371,904,624
0.37,980,601
0.37,1057,779
0.37,1075,784
0.37,1049,875
0.37,861,640
0.37,962,601
0.37,955,858
0.37,850,641
0.37,824,641
0.37,1015,601
0.37,846,637
0.37,1032,770
0.37,1007,818
0.37,1004,818
0.37,814,637
0.37,851,640
0.37,927,637
0.37,824,640
0.37,978,858
0.37,958,641
0.37,1062,770
0.37,1020,602
0.37,1041,770
0.37,848,640
0.37,882,640
0.369,1081,892
0.369,928,663
0.369,968,853
0.369,1007,783
0.369,979,705
0.369,967,854
0.369,993,864
0.369,1006,717
0.369,996,698
0.369,977,698
0.369,1076,878
0.369,890,778
0.369,957,864
0.369,1010,694
0.369,1012,880
0.369,988,698
0.369,1014,694
0.369,982,718
0.369,1013,694
0.369,957,773
0.369,869,663
0.369,876,778
0.369,1008,783
0.369,930,778
0.369,867,649
0.369,958,783
0.369,983,783
0.369,1088,878
0.369,941,649
0.369,971,705
0.369,980,783
0.369,1065,892
0.368,853,779
0.368,860,770
0.368,882,779
0.368,840,875
0.368,958,856
0.368,1032,696
0.368,847,779
0.368,1037,696
0.368,1066,656
0.368,950,779
0.368,1087,700
0.368,1055,700
0.368,1020,837
0.368,1092,843
0.368,846,779
0.368,1087,843
0.368,1036,696
0.368,869,770
0.368,875,779
0.368,946,779
0.368,813,875
0.368,940,875
0.368,1037,700
0.368,1037,656
0.368,813,779
0.368,1055,656
0.367,969,678
0.367,965,678
0.367,1070,868
0.367,1011,678
0.367,1081,868
0.367,1081,750
0.367,967,678
0.367,896,892
0.367,1060,874
0.367,1024,731
0.367,802,704
0.367,1015,669
0.367,902,878
0.367,820,892
0.367,1087,666
0.367,1063,666
0.367,813,704
0.367,1014,669
0.367,1030,874
0.367,809,732
0.367,1040,794
0.367,1090,782
0.367,1095,811
0.367,1053,750
0.366,992,612
0.366,1054,798
0.366,821,696
0.366,1010,624
0.366,1083,689
0.366,1094,841
0.366,980,612
0.366,1088,836
0.366,993,624
0.366,1099,828
0.366,811,843
0.366,999,612
0.366,827,843
0.366,1016,812
0.366,1047,798
0.366,918,700
0.366,1027,846
0.366,1051,798
0.366,1001,624
0.366,1087,798
0.366,1012,702
0.366,928,656
0.366,1034,844
0.366,1079,797
0.366,1046,844
0.366,1049,684
0.366,1008,624
0.366,1043,798
0.366,1065,817
0.366,1042,844
0.366,1069,684
0.366,1055,684
0.366,1066,817
0.366,993,610
0.366,945,843
0.366,866,696
0.366,801,640
0.366,982,624
0.366,1047,871
0.365,1015,850
0.365,837,794
0.365,906,794
0.365,924,750
0.365,1018,816
0.365,1070,711
0.365,802,649
0.365,962,640
0.365,873,782
0.365,951,750
0.365,862,782
0.365,914,782
0.365,926,750
0.365,976,647
0.365,925,811
0.365,800,649
0.365,1013,827
0.365,915,666
0.365,939,794
0.365,859,794
0.365,1025,832
0.365,1005,640
0.365,803,820
0.365,812,874
0.365,992,637
0.365,1072,847
0.365,1012,816
0.365,917,798
0.365,1016,832
0.365,812,794
0.365,980,637
0.365,910,811
0.365,869,820
0.365,883,750
0.365,853,811
0.365,837,820
0.365,1072,711
0.364,888,684
0.364,849,841
0.364,862,688
0.364,873,841
0.364,952,684
0.364,862,844
0.364,866,841
0.364,947,828
0.364,923,841
0.364,1023,768
0.364,1079,880
0.364,988,778
0.364,803,844
0.364,849,836
0.364,905,689
0.364,922,689
0.364,808,791
0.364,808,844
0.364,865,689
0.364,949,841
0.364,901,836
0.364,1087,821
0.364,1016,724
0.364,924,844
0.364,873,836
0.364,1037,821
0.364,832,688
0.364,906,828
0.364,1020,765
0.364,875,871
0.364,940,817
0.364,927,844
0.364,990,663
0.364,937,689
0.364,849,871
0.364,902,684
0.364,912,841
0.364,1070,737
0.364,809,817
0.364,848,836
0.364,1092,821
0.364,1090,872
0.364,922,871
0.364,915,684
0.364,905,836
0.364,1014,765
0.364,1091,821
0.364,1015,790
0.364,901,841
0.364,1093,891
0.364,1053,872
0.364,864,871
0.364,936,841
0.363,825,847
0.363,958,770
0.363,1038,898
0.363,965,779
0.363,1091,898
0.363,1086,898
0.363,944,847
0.363,995,784
0.363,1059,822
0.363,1030,898
0.363,926,847
0.363,1046,886
0.363,1001,779
0.363,997,784
0.363,957,770
0.363,1056,822
0.363,1035,898
0.363,1072,822
0.363,1026,861
0.363,950,711
0.362,945,880
0.362,1033,730
0.362,994,878
0.362,1072,766
0.362,826,880
0.362,1068,766
0.362,802,822
0.362,808,872
0.362,947,737
0.362,842,822
0.362,902,821
0.362,825,872
0.362,976,878
0.362,1061,730
0.362,1078,730
0.362,867,821
0.362,819,898
0.362,872,891
0.362,863,898
0.362,896,821
0.362,881,872
0.362,1059,792
0.362,990,878
0.362,836,891
0.362,821,821
0.362,920,822
0.362,923,872
0.362,804,872
0.362,944,898
0.362,825,821
0.362,934,737
0.362,925,891
0.362,1089,730
0.362,1038,792
0.362,1078,731
0.361,1040,846
0.361,908,837
0.361,882,766
0.361,916,837
0.361,1051,812
0.361,1090,848
0.361,874,766
0.361,965,843
0.361,919,886
0.361,1015,656
0.361,1012,696
0.361,919,837
0.361,1001,696
0.361,915,837
0.361,997,700
0.361,1024,777
0.361,899,766
0.361,839,886
0.361,837,837
0.36,1092,832
0.36,1032,805
0.36,971,666
0.36,1082,608
0.36,909,731
0.36,862,731
0.36,976,811
0.36,1033,816
0.36,936,731
0.36,1001,811
0.36,1051,827
0.36,1010,811
0.36,1030,815
0.36,986,750
0.36,1055,805
0.36,888,731
0.36,830,848
0.36,994,874
0.36,821,731
0.36,886,731
0.36,995,782
0.36,900,792
0.36,1084,827
0.36,1093,827
0.36,971,782
0.36,954,874
0.36,1098,815
0.36,924,731
0.36,867,792
0.36,983,874
0.36,995,868
0.36,985,868
0.36,1072,850
0.36,1094,816
0.36,898,731
0.36,1017,666
0.36,834,848
0.36,866,731
0.36,941,731
0.36,800,677
0.359,997,684
0.359,987,798
0.359,1087,768
0.359,933,842
0.359,1045,765
0.359,1060,790
0.359,962,828
0.359,894,842
0.359,982,844
0.359,1068,772
0.359,954,798
0.359,1095,764
0.359,1067,701
0.359,989,871
0.359,890,809
0.359,1033,764
0.359,1082,772
0.359,916,805
0.359,895,809
0.359,802,846
0.359,1054,772
0.359,1081,724
0.359,1048,683
0.359,863,815
0.359,920,815
0.359,821,805
0.359,854,815
0.359,1042,701
0.359,827,842
0.359,1098,790
0.359,875,815
0.359,907,809
0.359,932,815
0.359,918,842
0.359,995,798
0.359,1088,701
0.359,1056,633
0.359,987,844
0.358,883,804
0.358,1011,883
0.358,868,850
0.358,822,714
0.358,1013,769
0.358,1015,883
0.358,938,804
0.358,870,768
0.358,875,827
0.358,1033,742
0.358,939,832
0.358,822,804
0.358,847,832
0.358,857,804
0.358,832,804
0.358,848,832
0.358,929,804
0.358,898,832
0.358,894,816
0.358,1050,745
0.358,916,714
0.358,949,850
0.358,891,608
0.358,866,768
0.358,863,816
0.358,933,832
0.358,843,832
0.358,952,608
0.358,1021,771
0.358,935,850
0.358,1074,861
0.358,867,827
0.358,851,850
0.358,840,768
0.358,933,816
0.357,918,765
0.357,825,683
0.357,878,683
0.357,834,683
0.357,825,633
0.357,841,765
0.357,953,724
0.357,846,860
0.357,865,765
0.357,970,898
0.357,999,822
0.357,996,737
0.357,1068,659
0.357,944,765
0.357,823,683
0.357,816,772
0.357,1083,659
0.357,824,790
0.357,845,772
0.357,947,701
0.357,895,763
0.357,964,872
0.357,911,772
0.357,955,683
0.357,920,724
0.357,893,772
0.357,957,821
0.357,828,860
0.357,882,724
0.357,813,765
0.357,959,898
0.357,866,765
0.357,1014,894
0.357,906,683
0.357,1002,872
0.357,870,860
0.357,953,880
0.357,918,683
0.357,943,763
0.357,896,860
0.357,833,772
0.357,1027,885
0.357,827,860
0.357,831,633
0.357,1035,659
0.357,828,701
0.357,1012,885
0.357,898,701
0.357,899,724
0.357,1058,767
0.357,857,724
0.357,885,790
0.357,840,724
0.356,1034,682
0.356,852,742
0.356,854,742
0.356,1078,682
0.356,1006,766
0.356,1086,777
0.356,1021,732
0.356,818,861
0.356,1034,777
0.356,1074,682
0.356,812,742
0.356,912,861
0.356,1055,682
0.356,926,745
0.356,994,837
0.356,868,861
0.356,1022,704
0.356,975,766
0.356,866,861
0.356,1067,682
0.356,990,837
0.356,1021,720
0.356,874,742
0.355,985,731
0.355,879,777
0.355,891,659
0.355,991,792
0.355,1001,792
0.355,840,777
0.355,903,767
0.355,887,767
0.355,953,848
0.355,900,777
0.355,1007,848
0.355,1085,691
0.355,835,659
0.355,863,659
0.355,850,659
0.355,974,730
0.354,1009,805
0.354,935,682
0.354,1037,787
0.354,983,812
0.354,991,815
0.354,1090,664
0.354,836,682
0.354,1054,664
0.354,951,809
0.354,963,812
0.354,962,842
0.354,1001,805
0.354,979,815
0.354,1046,774
0.354,1066,774
0.354,1022,690
0.354,975,846
0.354,932,682
0.354,1063,785
0.354,915,682
0.353,1057,788
0.353,1028,876
0.353,1078,771
0.353,1044,670
0.353,1011,804
0.353,1062,881
0.353,976,827
0.353,930,691
0.353,1037,881
0.353,1055,806
0.353,1089,788
0.353,821,691
0.353,1095,788
0.353,1089,806
0.353,1089,670
0.353,1035,670
0.353,975,850
0.353,988,816
0.353,902,691
0.353,1068,876
0.353,987,816
0.353,1078,876
0.353,986,832
0.352,923,774
0.352,1053,885
0.352,856,664
0.352,989,772
0.352,834,787
0.352,906,787
0.352,1051,890
0.352,1005,763
0.352,979,860
0.352,907,774
0.352,865,664
0.352,985,772
0.352,968,683
0.352,1008,724
0.352,841,775
0.352,930,774
0.352,1060,890
0.352,918,787
0.352,1003,768
0.352,825,774
0.352,953,664
0.352,1001,790
0.352,945,664
0.352,984,701
0.352,962,790
0.352,1011,877
0.352,815,774
0.352,927,785
0.352,964,683
0.352,884,774
0.352,902,787
0.352,917,774
0.352,904,664
0.352,994,772
0.351,836,883
0.351,859,881
0.351,802,876
0.351,808,883
0.351,1054,720
